Participants,Unexpect_Central_Left,Unexpect_Central_Midline,Unexpect_Central_Right,Expect_Central_Left,Expect_Central_Midline,Expect_Central_Right,Diff_Central_Left,Diff_Central_Midline,Diff_Central_Right,Unexpect_Frontal_Left,Unexpect_Frontal_Midline,Unexpect_Frontal_Right,Expect_Frontal_Left,Expect_Frontal_Midline,Expect_Frontal_Right,Diff_Frontal_Left,Diff_Frontal_Midline,Diff_Frontal_Right
Omit_rates_adult_11,0.171137788,-0.528508395,0.089151434,0.691133985,-0.477565505,0.513721312,-0.519996197,0.05171258,-0.312737564,0.409619203,-0.526434394,-0.0189769,0.831325206,0.127854441,0.770137018,1.226891475,0.852294539,0.289594216
Omit_rates_adult_12,0.629210492,0.345690934,0.999513973,0.631465732,-0.035799618,0.890167177,0.015506295,0.665314104,0.384947359,0.885932866,-0.12462751,0.030799308,0.589444754,-0.553174396,-0.096947125,1.19732893,1.14663747,0.24992175
Omit_rates_adult_13,0.666761724,0.380599196,1.34E-01,0.591384857,0.396705808,0.876220703,-0.014101338,0.041131305,-6.82E-01,1.409105742,0.939581414,1.471278599,0.231391103,0.266552351,0.318936225,1.325642775,0.436711302,0.236029845
Omit_rates_adult_14,0.316479719,0.335052825,0.224801142,0.289080804,-0.174855146,0.056003624,0.020099328,0.028585005,-0.19194344,1.258916613,0.728526797,0.809062737,0.548352859,0.604880482,0.621879965,1.051066945,1.218190148,0.502918689
Omit_rates_adult_15,0.491666143,-0.01875981,-0.148746393,-0.66162306,-0.521261038,-1.015464259,1.313060213,0.929034017,1.837722388,1.125096301,-0.18482045,1.013857743,1.133832474,0.138457071,-0.217400964,0.621274771,0.409050677,0.256804447
Omit_rates_adult_16,0.55803696,0.525550086,9.24E-01,-0.137133139,0.612268397,0.367978395,0.784060335,0.33627198,7.15E-01,0.355620273,0.811087204,0.677886965,0.33364864,1.139159549,0.70365652,1.337463641,1.089388334,0.397273696
Omit_rates_adult_17,0.151672821,0.646414073,0.024885371,0.989892319,0.602897472,1.154710787,-0.318381664,0.033082983,-0.889991491,0.018344772,0.810597972,-0.103682935,-0.270590019,-0.008933528,0.453481382,1.051066945,1.271560523,0.460909518
Omit_rates_adult_18,0.897339444,1.120618817,8.84E-01,0.753602883,1.262425343,1.208562925,0.145334771,-0.234108114,-1.015564691,1.885778774,1.255298357,1.73E+00,0.608277674,0.787009589,1.006128498,1.15057116,0.507037673,0.278635935
Omit_rates_adult_19,-0.139265684,-0.046116264,0.168776306,0.875879552,0.252324582,0.182522356,-0.839179692,-0.069440438,1.11E-01,0.084990585,-0.150186084,-0.075073077,0.962852733,0.47644143,0.424816671,0.829946729,1.14663747,0.502918689
Omit_rates_adult_20,0.179631362,0.680728381,1.131696794,0.645515548,-0.043846288,0.486241963,-0.500247132,0.706802243,0.59744069,0.173035063,1.476871494,0.977986202,1.791259426,1.045030551,1.615565648,0.946143935,1.271560523,0.397273696
Omit_rates_adult_21,0.541546513,0.802592908,1.46042829,-0.097091391,0.97265994,0.875114134,0.678665478,-0.164446744,0.388856463,-0.191450608,0.523373346,1.055466741,-0.814118938,0.001959611,-0.099833942,0.645638668,1.089388334,0.24992175
Omit_rates_adult_22,0.352350233,0.779251919,0.468651367,0.388461188,0.061700076,0.594975162,0.218052331,0.689870107,0.268991079,0.750736812,1.100874776,1.288026517,0.148377335,-0.186953307,3.06E-01,0.719708943,1.216286025,0.31637295
Omit_rates_adult_23,0.235856027,0.317067105,0.178045,0.198211019,0.407097532,0.118185793,-0.258807919,0.331599321,0.171961465,0.829554387,0.342709496,0.863984274,1.404356428,1.513780702,1.549687474,1.337463641,0.421069139,0.35103526
Omit_rates_adult_24,0.535935379,0.493697704,3.92E-01,0.861572477,0.499068455,1.087397703,-0.309588351,0.374046017,-0.625753533,0.150531716,-0.130201648,0.245010606,1.704601844,1.204033423,1.464874123,1.148350425,0.436711302,0.402405029
Omit_rates_adult_25,0.857758008,0.970956694,1.561775307,0.470528662,0.710373329,1.045338736,0.287979962,0.308959605,0.525347722,1.324606568,1.548478842,2.093292249,0.079860272,0.339611882,0.548236396,1.287351672,1.218190148,0.238160361
Omit_rates_adult_26,0.834557626,1.176367393,1.268265121,1.237080429,0.884132747,0.407770306,-0.461379474,-0.142250495,-0.243715753,0.693340628,1.219858314,1.173731891,1.674140818,1.075467061,2.212170711,0.946143935,1.281724325,0.460909518
Omit_rates_adult_27,0.026474023,-0.103609015,0.105459195,0.43213474,-0.511165886,0.261556793,-0.271452901,1.175150165,0.145655416,0.211283592,0.310471713,0.193664629,0.188404484,-0.448102792,0.126436463,1.087808372,0.436711302,0.238160361
Omit_rates_adult_28,0.468304623,0.105334835,1.001422741,0.25000203,0.199988431,0.425408006,0.190354082,-0.21931742,0.548468811,0.78375067,0.165911762,0.515927172,0.495406971,-0.132429607,9.76E-02,1.307939478,1.271560523,0.460909518
Omit_rates_adult_29,0.349411718,0.76958453,1.803861465,0.853681384,0.995600012,1.372415581,-0.206306832,-0.282035867,7.73E-01,-0.027884276,0.248870472,0.362441861,0.501510118,0.117469775,0.520609109,0.946143935,0.755821045,0.256804447
Omit_rates_adult_30,0.44859855,-0.336512569,-0.677020294,0.702931223,0.334326081,1.101182248,-0.098129878,-0.662288313,-1.66E+00,1.883775856,1.33246502,1.10897226,0.52867008,0.18582755,0.754695886,1.325642775,0.911871813,0.460909518
