Participants,Unexpect_Central_Left,Unexpect_Central_Midline,Unexpect_Central_Right,Expect_Central_Left,Expect_Central_Midline,Expect_Central_Right,Diff_Central_Left,Diff_Central_Midline,Diff_Central_Right,Unexpect_Frontal_Left,Unexpect_Frontal_Midline,Unexpect_Frontal_Right,Expect_Frontal_Left,Expect_Frontal_Midline,Expect_Frontal_Right,Diff_Frontal_Left,Diff_Frontal_Midline,Diff_Frontal_Right
Omit_rates_adult_11,-0.175806883,-0.243509669,-0.598164789,-0.239017583,0.006875898,-0.495443981,-0.382956967,-0.341987476,-0.313808051,0.011905884,-0.685540632,-0.437483737,0.174958389,0.046011553,0.352030582,-1.300125409,-0.959288143,0.397273696
Omit_rates_adult_12,0.227640892,0.658930602,0.276668456,0.064007957,0.552012746,-0.375603612,-0.109007064,0.083198492,0.09051519,0.050016708,-0.150631536,-0.239589777,0.457576957,-0.266573536,0.137989477,-0.598746731,-0.34135665,-0.35112791
Omit_rates_adult_13,0.044739499,-0.100099978,-1.12E-01,0.128222634,0.768300259,0.318229829,-0.076624892,-0.978067191,-7.83E-01,0.490709674,0.14793255,0.245885802,-0.166845661,0.512318322,0.380124184,-1.350707346,-0.595720805,-0.801636696
Omit_rates_adult_14,-0.223206502,-0.875289932,-0.536720062,0.018310334,0.001279473,-0.336227946,-0.293827554,-1.141361971,-0.388900701,0.760056331,0.250283116,0.57359111,0.092922609,0.00116743,0.216186037,-1.350707346,-0.958718839,-0.909633797
Omit_rates_adult_15,0.182419409,0.303507491,-0.08645617,-0.817096487,-1.037982568,-0.578116405,0.886683726,1.511432784,0.316668202,0.534877424,-0.564963935,0.746960734,0.397312855,0.059799028,-0.022587563,-1.363601958,0.63738184,0.40561514
Omit_rates_adult_16,-0.000737959,0.261271951,7.82E-02,-0.262959112,-0.066408904,0.098278444,0.105415402,0.182148027,-2.71E-01,0.016040538,0.398417349,0.236598623,0.040108926,0.228757505,0.125464178,0.719708943,-0.595720805,-0.801636696
Omit_rates_adult_17,-0.134267297,-0.103056052,-0.160562983,0.102354102,0.549737657,0.277528672,-0.738141388,-1.031850903,-0.745181838,-0.056828816,0.291173386,-0.38604632,-0.531405505,-0.217003552,0.304944653,-1.226166553,-0.824102775,-0.60133343
Omit_rates_adult_18,0.338233328,0.424143652,1.49E-01,0.183685389,0.50083191,0.787093148,0.018957552,-0.429812967,-0.717007995,0.350847869,0.161983231,5.23E-01,0.145779192,0.75636103,0.915464744,-1.207820235,-0.824102775,-0.801636696
Omit_rates_adult_19,-0.567760159,-0.284468195,-0.215436478,0.043475115,-0.099315962,-0.15552502,-1.125677763,-0.275322814,-3.77E-01,-0.609387612,-0.207320989,-0.173781865,-0.081172522,-0.338587286,-0.511038756,0.67009424,0.698882672,0.668235217
Omit_rates_adult_20,-0.354275785,0.617591048,0.062672094,-0.032823249,-0.027413687,0.097614268,-0.624148804,0.082114167,-0.262914315,-0.249844628,0.673885607,0.367751129,1.456019116,0.809261926,1.605785735,-1.023683176,0.133561494,0.289594216
Omit_rates_adult_21,0.551088056,1.138030339,0.718235783,-0.156566115,0.72703247,0.452696587,0.673851771,0.344957195,-0.177594174,-0.187830196,0.067551386,0.76870025,-1.214829127,-0.484480648,-0.533068506,-1.363601958,-0.718250372,-0.730913221
Omit_rates_adult_22,0.117100249,0.230349733,0.291094261,0.035004005,0.230527523,0.055264875,-0.176261727,-0.25849712,-0.191271207,0.304005975,0.568644104,0.619615735,0.109312613,0.039545266,4.62E-01,-1.207820235,-0.718250372,-0.730913221
Omit_rates_adult_23,-0.130026975,-0.408420473,-0.272779002,-0.070087924,-0.174562097,0.031316235,-0.475196647,-0.606866669,-0.457805433,0.620812774,0.215356182,0.13714649,0.853833787,0.468171303,0.607515084,0.829946729,0.349833836,0.31637295
Omit_rates_adult_24,0.253498586,0.276834133,-2.33E-01,0.414732953,0.345122429,-0.260797361,-0.250139501,-0.22618971,-0.030144598,0.288764,0.013230053,0.518045206,0.626172955,0.203619146,0.548647439,0.946143935,1.281724325,-0.102311294
Omit_rates_adult_25,0.299606983,0.718149495,0.385452713,0.040012166,0.419827671,0.322026632,0.107614816,-0.01866752,-0.299779505,0.333085942,0.70000215,0.889163192,-0.110590705,0.120105492,0.216678528,0.498152616,-0.097773915,0.115823786
Omit_rates_adult_26,0.809791243,0.693670102,0.482904974,0.724161292,0.178215013,0.572680927,-0.215696035,0.401628203,-0.142250495,-0.260766871,-0.125824518,0.527180953,0.954614158,0.521102301,0.809499513,0.635195123,0.671822688,0.668235217
Omit_rates_adult_27,-0.287355803,-0.07259094,-0.111419629,0.472740341,0.593132303,-0.449653029,-0.913094169,-0.916542328,0.127965992,-0.134559289,0.086684258,-0.044675381,-0.133616184,-0.39926883,0.156776,-1.350707346,-0.824102775,-0.801636696
Omit_rates_adult_28,0.136680107,0.647275984,-0.160178012,-0.19840573,0.124424261,-0.129429252,0.034655027,0.44164347,-0.211599513,0.023719654,-0.253655163,-0.200161087,-0.242545318,-0.27500062,-1.53E-01,-1.350707346,0.698882672,0.40561514
Omit_rates_adult_29,0.010676088,1.57428685,0.205938505,0.573887654,0.866920055,0.531022601,-0.718774679,0.388636194,-5.21E-01,-0.617501004,0.027403939,0.057292782,0.125618638,0.116024592,0.511109112,0.621274771,-0.590456051,-0.592365826
Omit_rates_adult_30,0.100824398,-0.567373177,-0.304944164,0.412176692,0.150417448,0.135940767,-0.501685731,-1.62990565,-9.23E-01,-0.125311166,-0.195324991,0.08179219,0.318810916,0.300277846,0.564781259,-1.300125409,-0.959288143,-0.909633797
